rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
45999,"Amsterdam-Rotterdam-Brussel (HSL)","Amsterdam Centraal - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL)","24,32","Amsterdam Centraal,Amsterdam Lelylaan,Amsterdam Sloterdijk,Rotterdam Centraal,Schiphol Airport","ASD, ASDL, ASS, RTD, SHL",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-01-01 08:19:26","2023-01-01 22:43:08",864
46000,Zwolle-Leeuwarden,"Leeuwarden - Zwolle",160,"Heerenveen,Wolvega,Heerenveen IJsstadion","HR, WV, HRY","dier op het spoor","an animal on the railway track","dier op het spoor","an animal on the railway track",external,"2023-01-01 10:31:49","2023-01-01 10:56:17",24
46001,"Heerlen-Aachen Hbf","Aachen Hbf - Heerlen",130,"Aachen Hbf,Eygelshoven Markt,Heerlen,Heerlen De Kissel,Herzogenrath,Landgraaf,Aachen West","AHBF, EGHM, HRL, HRLK, HZ, LG, AW","beperkingen in de materieelinzet","problems with the rolling stock","beperkingen in de materieelinzet","problems with the rolling stock","rolling stock","2023-01-01 13:19:24","2023-01-02 00:02:39",643
46002,Zutphen-Winterswijk,"Winterswijk - Zutphen",83,"Vorden,Zutphen","VD, ZP",aanrijding,collision,aanrijding,collision,accidents,"2023-01-01 17:15:22","2023-01-01 20:14:23",179
46003,"Heerlen-Aachen Hbf","Aachen Hbf - Heerlen",130,"Aachen Hbf,Eygelshoven Markt,Heerlen,Heerlen De Kissel,Herzogenrath,Landgraaf,Aachen West","AHBF, EGHM, HRL, HRLK, HZ, LG, AW","beperkingen in de materieelinzet","problems with the rolling stock","beperkingen in de materieelinzet","problems with the rolling stock","rolling stock","2023-01-02 05:57:27","2023-01-03 02:07:13",1210
46004,Amersfoort-Ede-Wageningen,"Amersfoort - Ede-Wageningen",47,"Amersfoort Centraal,Barneveld Centrum,Barneveld Noord,Ede-Wageningen,Ede Centrum,Lunteren,Hoevelaken,Barneveld Zuid","AMF, BNC, BNN, ED, EDC, LTN, HVL, BNZ","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 06:36:39","2023-01-02 07:28:16",52
46005,"Dordrecht-Breda; Dordrecht-Roosendaal","Breda - Dordrecht, Dordrecht - Roosendaal","170,171","Dordrecht,Dordrecht Zuid,Lage Zwaluwe","DDR, DDZD, ZLW","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 07:31:33","2023-01-02 08:09:37",38
46006,'s-Hertogenbosch-Tilburg,"'s-Hertogenbosch - Tilburg",69,"'s-Hertogenbosch,Tilburg","HT, TB","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 11:33:15","2023-01-02 11:44:27",11
46007,"Rotterdam-Breda (HSL)","Breda - Rotterdam Centraal (HSL)",15,"Breda,Rotterdam Centraal","BD, RTD","gestrande trein","stranded train","gestrande trein","stranded train","rolling stock","2023-01-02 11:50:11","2023-01-02 12:25:39",35
46008,"Amsterdam-Schiphol-Rotterdam (HSL)","Amsterdam Centraal - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL)","24,32","Amsterdam Centraal,Amsterdam Lelylaan,Amsterdam Sloterdijk,Rotterdam Centraal,Schiphol Airport","ASD, ASDL, ASS, RTD, SHL","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 12:40:11","2023-01-02 13:08:08",28
46009,Utrecht-'s-Hertogenbosch,"'s-Hertogenbosch - Utrecht Centraal",151,"Geldermalsen,'s-Hertogenbosch,Zaltbommel","GDM, HT, ZBM","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 13:27:56","2023-01-02 13:40:34",13
46010,"Amsterdam-Utrecht; Amsterdam-Gouda","Amsterdam Centraal - Utrecht Centraal, Amsterdam Centraal - Woerden","136,141","Amsterdam Amstel,Amsterdam Bijlmer ArenA,Duivendrecht","ASA, ASB, DVD","dier op het spoor","an animal on the railway track","dier op het spoor","an animal on the railway track",external,"2023-01-02 14:45:49","2023-01-02 15:19:25",34
46011,Amsterdam-Utrecht,"Amsterdam Centraal - Utrecht Centraal",136,"Abcoude,Amsterdam Amstel,Amsterdam Bijlmer ArenA,Amsterdam Centraal,Amsterdam Muiderpoort,Amsterdam Holendrecht,Breukelen,Duivendrecht,Maarssen,Utrecht Centraal,Utrecht Zuilen","AC, ASA, ASB, ASD, ASDM, ASHD, BKL, DVD, MAS, UT, UTZL","dier op het spoor","an animal on the railway track","dier op het spoor","an animal on the railway track",external,"2023-01-02 16:05:42","2023-01-02 17:29:03",83
46012,Nijmegen-'s-Hertogenbosch,"'s-Hertogenbosch - Nijmegen",57,"Oss,Ravenstein,Wijchen","O, RVS, WC","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 18:14:21","2023-01-02 18:33:10",19
46013,Arnhem-Nijmegen,"Arnhem Centraal - Nijmegen",59,"Arnhem Centraal,Arnhem Zuid,Elst,Nijmegen,Nijmegen Lent","AH, AHZ, EST, NM, NML","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 18:25:24","2023-01-02 18:33:15",8
46014,Utrecht-Leiden,"Leiden Centraal - Utrecht Centraal",147,"Bodegraven,Woerden","BDG, WD","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-02 18:30:08","2023-01-02 18:44:24",14
46015,Utrecht-Baarn,"Baarn - Utrecht Centraal",44,"Baarn,Soestdijk,Soest","BRN, SD, ST","sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2023-01-02 19:13:29","2023-01-02 21:58:57",165
46016,Roosendaal-Vlissingen,"Roosendaal - Vlissingen",21,"Bergen op Zoom,Krabbendijke,Kruiningen-Yerseke,Rilland-Bath","BGN, KBD, KRG, RB",aanrijding,collision,aanrijding,collision,accidents,"2023-01-02 20:25:28","2023-01-03 00:23:08",238
46017,Venlo-Roermond,"Roermond - Venlo",66,"Tegelen,Venlo","TG, VL","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-03 05:39:56","2023-01-03 06:13:56",34
46018,Amsterdam-Weesp,"Amersfoort - Amsterdam Centraal, Amsterdam Centraal - Lelystad Centrum","135,145","Amsterdam Centraal,Amsterdam Muiderpoort,Amsterdam Science Park,Diemen,Weesp","ASD, ASDM, ASSP, DMN, WP","defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2023-01-03 05:57:26","2023-01-03 06:15:27",18
46019,"Heerlen-Aachen Hbf","Aachen Hbf - Heerlen",130,"Aachen Hbf,Eygelshoven Markt,Heerlen,Heerlen De Kissel,Herzogenrath,Landgraaf,Aachen West","AHBF, EGHM, HRL, HRLK, HZ, LG, AW","beperkingen in de materieelinzet","problems with the rolling stock","beperkingen in de materieelinzet","problems with the rolling stock","rolling stock","2023-01-03 07:26:33","2023-01-04 04:34:14",1268
46020,Roosendaal-Vlissingen,"Roosendaal - Vlissingen",21,"Arnemuiden,Goes","ARN, GS","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-03 12:15:11","2023-01-03 12:38:36",23
46021,Nijmegen-Venlo,"Nijmegen - Venlo",64,"Boxmeer,Vierlingsbeek,Venray","BMR, VLB, VRY","sein- en wisselstoring","signalling and points failure","sein- en wisselstoring","signalling and points failure",infrastructure,"2023-01-03 14:53:08","2023-01-03 15:53:15",60
46022,"Amsterdam-Schiphol-Rotterdam (HSL)","Rotterdam Centraal - Schiphol Airport (HSL)",24,"Rotterdam Centraal,Schiphol Airport","RTD, SHL","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-03 14:54:42","2023-01-03 15:02:54",8
